status_1,Bozza
During the transition phase the old Magento MyParcel extension can remain active. However you do need to turn off PakjeGemak in the old MyParcel extension.,Durante la fase di transizione la vecchia estensione Magento MyParcel può rimanere attiva. Tuttavia è necessario disattivare PakjeGemak nella vecchia estensione MyParcel.
Please select an item from the list,Seleziona prima un ordine dall'elenco
Please check address,Controlla l'indirizzo
No key found. Go to Configuration and then to MyParcel to enter the key.,Nessuna chiave API trovata. Vai a Configurazione e poi a MyParcel per inserire la chiave.
No shipment can be made with this order. Shipments can not be created if the status is On Hold or if the product is digital.,Non è possibile creare una spedizione con questo ordine. Le spedizioni non possono essere create se lo stato è 'In sospeso' o se il prodotto è digitale.
Creating shipments via bulk actions is not possible for orders without a source. Go to the details of the order and process the shipment manually.,La creazione di spedizioni tramite azioni di massa non è possibile per ordini senza origine. Apri i dettagli dell'ordine ed elabora la spedizione manualmente.
MyParcel Track,Barcode MyParcel
Use Shipment template,Usa template di spedizione
Enable this option to add the MyParcel barcode in the email.,Attiva questa opzione per aggiungere il barcode MyParcel nell'email.
MyParcel Shipment Email Template,Template email per spedizione MyParcel
MyParcel Shipment Email Template for Guest,Template email per spedizione MyParcel per ospiti
"Use Shipment email template when ""Default"" option is selected.","Usa il template email di spedizione quando è selezionata l'opzione ""Predefinito""."
Action type,Tipo di azione
Download label,Scarica etichetta
Open in new tab,Apri in nuova scheda
Package Type,Tipo di pacco
Print position,Posizione di stampa
MyParcel version,Versione MyParcel
"The version %1 of the extension is installed on your webshop. Currently version %2 is the latest stable version. If you experience an issue, we recommend that you install the latest stable version.","La versione %1 dell'estensione è installata sul tuo webshop. Attualmente la versione %2 è la versione stabile più recente. Se riscontri problemi, consigliamo di installare l'ultima versione stabile."
"To read the instructions for the Magento extension, click %1 here %2.","Per leggere le istruzioni dell'estensione Magento, clicca %1 qui %2."
When using the extension please note:,Quando utilizzi l'estensione tieni presente:
To be able to configure the extension you need to possess and use an active account.,"Per poter configurare l'estensione, è necessario possedere e utilizzare un account attivo."
"During the transition phase the old Magento MyParcel extension can remain active. However, you do need to turn off PakjeGemak in the old MyParcel extension.","Durante la fase di transizione la vecchia estensione Magento MyParcel può rimanere attiva. Tuttavia, è necessario disattivare PakjeGemak nella vecchia estensione MyParcel."
Magento &amp; 3rd party version compatibility,Compatibilità versioni Magento &amp; terze parti
We cannot guarantee perfect functionality of the extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact us.,Non possiamo garantire il perfetto funzionamento dell'estensione se intendi utilizzarla su una versione di Magento non supportata o insieme a un'estensione di terze parti non supportata. Per qualsiasi domanda contattaci.
As of January 1st 2022 shipments to Belgium will be insured based on default export settings.,A partire dal 1° gennaio 2022 le spedizioni verso il Belgio saranno assicurate in base alle impostazioni di esportazione predefinite.
Questions and information about your account,Domande e informazioni sul tuo account
"For questions related to your account, configuration problems, extension conflicts and bugs, please contact us.","Per domande relative al tuo account, problemi di configurazione, conflitti tra estensioni e bug, contattaci."
Phone:,Telefono:
Email,Email
Documents,Documenti
Latest stable release,Ultima versione stabile
Installation and configuration manual,Manuale di installazione e configurazione
Full changelog,Note di rilascio complete
Installation and configuration instructions,Istruzioni di installazione e configurazione
Do you want to know what they are doing in the near future? Below you can find the schedule for Magento 2. Do you have any suggestions or ideas? They are always welcome. That way we will continue to improve the extension together.,Vuoi sapere a cosa stanno lavorando in futuro? Qui sotto trovi la pianificazione per Magento 2. Hai suggerimenti o idee? Sono sempre benvenuti. Così continueremo a migliorare insieme l'estensione.
API key is not known. Go to the settings in the backoffice to create an API key. Fill the API key in the settings.,Chiave API sconosciuta. Vai alle impostazioni nel backoffice per creare una chiave API. Inserisci la chiave API nelle impostazioni.
Basic settings,Impostazioni di base
Delivery settings,Consegna
day,giorno
days,giorni
Hide days,Nascondi giorni
Cut-off time,Orario limite
"If a request is made for the delivery options between Friday after, and Monday before, cut-off time then Tuesday will be shown as the next possible delivery date.","Se viene effettuato un ordine tra venerdì dopo l'orario limite e lunedì prima dell'orario limite, martedì sarà mostrato come prossima data di consegna possibile."
If a request is made before this time on Saturday Monday will be shown as the next possible delivery date. This is ignored when Sunday is a drop-off day.,"Se viene effettuato un ordine prima di questo orario di sabato, lunedì sarà mostrato come prossima data di consegna possibile. Questo viene ignorato se la domenica è un giorno di spedizione."
"If a request is made before this time on Sunday and Sunday is a drop-off day, Monday will be shown as the next possible delivery date.","Se viene effettuato un ordine prima di questo orario di domenica e la domenica è un giorno di spedizione, lunedì sarà mostrato come prossima data di consegna possibile."
Drop-off days,Giorni di spedizione
Whether you drop off packages on this day.,Se consegni i pacchi in questo giorno.
"For orders before this time, the drop-off is considered done on this day.","Per gli ordini effettuati prima di questo orario, la consegna è considerata effettuata in questo giorno."
Specify the days you hand in your parcels for this carrier. Specify the latest time a customer can order for you to deliver the package in time for shipment that day.,Specifica i giorni in cui consegni i pacchi a questo corriere. Specifica l'orario massimo entro cui un cliente può ordinare affinché tu possa spedire il pacco in tempo per quel giorno.
Saturday active,Sabato attivo
Saturday title,Titolo sabato
Drop-off delay,Ritardo
No delay,Nessun ritardo
"This option allows you to set the number of days it takes you to pick, pack and hand in your parcels when ordered before the cutoff time.","Questa opzione ti permette di impostare il numero di giorni necessari per prelevare, imballare e consegnare i pacchi quando ordinati prima dell'orario limite."
Age check 18+,Controllo età 18+
The age check is intended for parcel shipments for which the recipient must show 18+ by means of a proof of identity. This option can't be combined with morning or evening delivery.,Il controllo dell'età è destinato alle spedizioni di pacchi per cui il destinatario deve dimostrare di avere più di 18 anni. Questa opzione non può essere combinata con la consegna mattutina o serale.
Fit in digital stamp,Entra nel francobollo digitale
HS code,Codice HS
"HS Codes are used for MyParcel world shipments, you can find the appropriate code on the site of the Dutch Customs","I codici HS sono utilizzati per le spedizioni mondiali MyParcel, puoi trovare il codice appropriato sul sito della Dogana olandese."
Disable delivery options,Disabilita opzioni di consegna
With this option you can disable the delivery options if this product is in the cart.,Con questa opzione puoi disabilitare le opzioni di consegna se questo prodotto è nel carrello.
Fit in mailbox,Entra nella buca lettere
"Fill in the amount of products that fit in one mailbox package. Use 0 to automatically calculate based on weight, -1 if the article does not fit in a mailbox package. It will always be sent as a regular package if it's too heavy for a mailbox package.","Inserisci il numero di prodotti che entrano in un pacco buca lettere. Usa 0 per calcolare automaticamente in base al peso, -1 se l'articolo non entra in un pacco buca lettere. Sarà sempre spedito come pacco regolare se è troppo pesante per un pacco buca lettere."
Methods,Metodo di spedizione
The extra myparcel options are added to this shipping method,Le opzioni MyParcel aggiuntive vengono aggiunte a questo metodo di spedizione.
Delivery title,Titolo consegna
"When pickup locations are enabled, the user can choose between map or list view. This setting decides which option will be selected first, upon opening the pickup locations.","Quando i punti di ritiro sono abilitati, l'utente può scegliere tra mappa o elenco. Questa impostazione determina quale opzione viene selezionata per prima all'apertura dei punti di ritiro."
Deliver the package only at address of the intended recipient.,Consegna il pacco solo all'indirizzo del destinatario previsto.
This will be added to the regular shipping price,Verrà aggiunto al normale costo di spedizione
Not possible if Pickup at PostNL location is not active,Non possibile se 'Ritiro presso punto PostNL' non è attivo
Signature on receipt,Firma alla consegna
Signature on receipt title,Titolo firma alla consegna
Signature on receipt fee,Costo firma alla consegna
Hide sender,Nascondi mittente
This will be added to the regular shipping price,Verrà aggiunto al normale costo di spedizione
If both have been selected this price will be added to the regular shipping price. Leave empty for not using it.,"Se entrambi sono selezionati, questo prezzo verrà aggiunto al normale costo di spedizione. Lascia vuoto per non utilizzarlo."
"To use this optimally, set a weight or 'Fit in mailbox' volume of each product. Regardless, shipments heavier than the weight specified here will not be mailbox.","Per utilizzare al meglio questa funzione, imposta il peso o il volume 'Entra nella buca lettere' di ogni prodotto. Indipendentemente da ciò, le spedizioni più pesanti del peso qui specificato non saranno inviate come buca lettere."
This will be added to the regular shipping price,Verrà aggiunto al normale costo di spedizione
Pickup at PostNL location,Ritiro presso punto PostNL
Pickup active,Ritiro attivo
Standard delivery Title,Titolo consegna standard
Signature on receipt title,Titolo firma alla consegna
Hide sender title,Titolo nascondi mittente
Printerless return,Reso senza stampante
Frozen,Surgelato
Fresh food,Cibi freschi
Priority delivery,Consegna prioritaria
Morning title,Titolo consegna mattutina
Evening title,Titolo consegna serale
Mailbox title,Titolo buca lettere
Digital stamp title,Titolo francobollo digitale
Pickup title,Titolo ritiro
Pickup fee,Costo ritiro
Pickup list button text,Testo pulsante elenco ritiri
Pickup map button text,Testo pulsante mappa ritiri
Drop off day,Giorni di spedizione
Select the days that you send the orders.,Seleziona i giorni in cui spedisci gli ordini.
Show a delivery day in the checkout.,Mostra un giorno di consegna nel checkout.
You have not entered the correct API key. Go to the general settings in the back office of MyParcel to generate the API Key.,Non hai inserito la chiave API corretta. Vai alle impostazioni generali nel backoffice di MyParcel per generare la chiave API.
Address details are not entered,I dettagli dell'indirizzo non sono stati inseriti
The times will be visible when nothing is filled in,Gli orari saranno visibili quando non è inserito nulla
"Enter an amount that is either positive or negative. For example, do you want to give a discount for using this function or do you want to charge extra for this delivery option.","Inserisci un importo positivo o negativo. Ad esempio, vuoi concedere uno sconto per l'utilizzo di questa funzione o addebitare un costo aggiuntivo per questa opzione di consegna."
Discount,Sconto
Most sustainable,Più sostenibile
Free,Gratis
From,Da
Pick up from,Ritiro da
Pick up at a pick-up point,Ritiro presso un punto di ritiro
Opening hours,Orari di apertura
Show more opening hours,Mostra altri orari di apertura
Show more locations,Mostra altre sedi
Closed,Chiuso
Postal code,Codice postale
House number,Numero civico
City,Città
Country,Paese
Street,Via
Again,Di nuovo
Postcode/city combination unknown,Combinazione codice postale/città sconosciuta
Deliver as quickly as possible,Consegna il più rapidamente possibile
Date settings,Impostazioni data
Monday,Lunedì
Tuesday,Martedì
Wednesday,Mercoledì
Thursday,Giovedì
Friday,Venerdì
Saturday,Sabato
Sunday,Domenica
"Enable create label concept, when invoice is printed.",Crea etichette bozza quando stampi una fattura.
Mailbox,Pacco buca lettere
Digital stamp,Francobollo digitale
Small package,Piccolo pacco
Print return label directly,Stampa direttamente l'etichetta di reso
I use the following weight type,Utilizzo la seguente unità di misura del peso
This is the type of weight that I use with my products.,Questa è l'unità di misura del peso che utilizzi per i tuoi prodotti.
Default,Predefinito
No,No
Yes,Sì

error3212,{field} è obbligatorio.
error3224,Corriere non valido.
error3501,Questo indirizzo non è stato trovato.
error3505,Il codice postale non è valido per il paese selezionato.
error3506,Tipo di consegna non valido.
error3516,Paese non supportato dal corriere.
error3517,Non disponibile per questo paese.
error3707,Tipo di pacco non valido.
error3728,Nessuna opzione di consegna trovata.

Without options,Senza opzioni
Options equal to shipment,Opzioni uguali alla spedizione
Export to MyParcel,Esporta su MyParcel
Already exported,Già esportato
Enabling this setting automatically creates a related return shipment for any shipment you export. When downloading the shipment labels the corresponding return shipment labels will be included.,"Abilitando questa impostazione viene creata automaticamente una spedizione di reso correlata per ogni spedizione esportata. Quando si scaricano le etichette di spedizione, verranno incluse anche le corrispondenti etichette di reso."
Show details in summary,Mostra dettagli nel riepilogo
"Where the shipping method is displayed, show the currently known details (yes) or the method title (no).","Dove viene mostrato il metodo di spedizione, mostra i dettagli attualmente noti (sì) o il titolo del metodo (no)."

Delivery Options,Consegna a casa o al lavoro
Delivery options,
Back to overview,Torna alla panoramica
Delivery,Consegna
Pickup,Ritiro
Pickup location,Punto di ritiro
Open map,Apri mappa
Confirm,Conferma
Standard Delivery,Consegna standard
Morning Delivery,Consegna mattutina
Evening Delivery,Consegna serale
Pickup locations,Ritiro presso un punto di ritiro
Same day Delivery,Consegna in giornata
Hide Sender,Nascondi mittente
List,Elenco
Map,Mappa
Mailbox,Pacco buca lettere
Digital Stamp,Francobollo digitale
Packet,Piccolo pacco
Signature,Firma alla consegna
Priority delivery,Consegna prioritaria
Only Recipient,Solo destinatario
Monday delivery,Consegna del lunedì
Saturday delivery,Consegna del sabato
Load more,Carica altro
Options,Opzioni
No delivery options available.,Nessuna opzione di consegna disponibile.
{deliveryType} (date/time selection not available),{deliveryType} (selezione data/ora non disponibile)
Delivery costs,Costi di consegna
Use Free Shipping,Usa spedizione gratuita
Whether the MyParcel delivery costs are 0 when the Free Shipping delivery method is available.,Se i costi di consegna MyParcel sono 0 quando il metodo di spedizione gratuita è disponibile.
Rule name,Nome regola
Select a condition...,Seleziona una condizione...
Carrier name,Nome corriere
Country,Paese
Package type,Tipo di pacco
Maximum weight (in grams),Peso massimo (in grammi)
Country part of,Paese parte di
No rules defined. Click Add rule to create a new rule.,Nessuna regola definita. Clicca su 'Aggiungi regola' per crearne una nuova.
Add rule,Aggiungi regola
Price,Prezzo
Toggle conditions,Espandi/comprimi condizioni
Remove rule,Rimuovi regola
Add condition,Aggiungi condizione
New rule,Nuova regola
Condition,Condizione
Value,Valore
Remove condition,Rimuovi condizione
Select a condition,Seleziona una condizione
Show or hide JSON textarea,Mostra o nascondi area di testo JSON
Invalid JSON in textarea,JSON non valido nell'area di testo
Compact view,Vista compatta
"When enabled, the delivery options widget is rendered in compact mode.","Quando abilitato, il widget delle opzioni di consegna viene visualizzato in modalità compatta."
Pop-up map,Mappa pop-up
"When enabled, the pickup location map is displayed in a pop-up.","Quando abilitato, la mappa dei punti di ritiro viene visualizzata in un pop-up."
Import MyParcel Backoffice settings,Importa impostazioni Backoffice MyParcel
Import,Importa
Compact mode back to overview text,Testo 'torna alla panoramica' in modalità compatta
Compact mode delivery title,Titolo consegna in modalità compatta
Compact mode pickup title,Titolo ritiro in modalità compatta
Pop-up map title,Titolo mappa pop-up
Pop-up map open button text,Testo pulsante 'apri mappa' del pop-up
Pop-up map confirm button text,Testo pulsante conferma del pop-up
Delivery options header,Intestazione opzioni di consegna
Monday delivery title,Titolo consegna del lunedì
Receipt code title,Titolo codice di ricezione
Exclude parcel lockers,Escludi locker per pacchi
Price shown in delivery options,Prezzo mostrato nelle opzioni di consegna
Automate 'Only recipient',Automatizza 'Solo destinatario'
Automate 'Hide sender',Automatizza 'Nascondi mittente'
Automate Small Package,Automatizza il pacchetto piccolo
DHL Europlus settings,Impostazioni DHL Europlus
DHL For You settings,Impostazioni DHL For You
DHL Parcel Connect settings,Impostazioni DHL Parcel Connect
DPD settings,Impostazioni DPD
Delivery fee,Costo di consegna
Empty package weight,Peso del pacco vuoto
Fresh food from price (€),Prodotti freschi dal prezzo (€)
Frozen from price (€),Congelato dal prezzo (€)
GLS settings,Impostazioni GLS
Insure orders for percentage,Assicura gli ordini per percentuale
Insure orders from (€),Assicura gli ordini da (€)
Insure orders up to,Assicura gli ordini fino a
Insure orders up to (BE),Assicura gli ordini fino a (BE)
Insure orders up to (EU),Assicura gli ordini fino a (EU)
Insure orders up to (Local),Assicura gli ordini fino a (Locale)
Insure orders up to (ROW),Assicura gli ordini fino a (ROW)
International mailbox,Cassetta postale internazionale
Mode,Modalità
Monday delivery fee,Costo di consegna il lunedì
Only recipient,Solo destinatario
Only recipient fee,Costo solo destinatario
Only recipient from price (€),Solo destinatario dal prezzo (€)
Only recipient title,Titolo solo destinatario
Pickup at DHL location,Ritiro presso un punto DHL
Pickup at DPD location,Ritiro presso un punto DPD
Pickup at GLS location,Ritiro presso un punto GLS
PostNL settings,Impostazioni PostNL
Priority delivery fee,Costo di consegna prioritaria
Priority delivery title,Titolo consegna prioritaria
Receipt code from price (€),Codice di ricezione dal prezzo (€)
Saturday delivery fee,Costo di consegna il sabato
Signature from price (€),Firma dal prezzo (€)
Small Package settings,Impostazioni pacchetto piccolo
Small Package weight,Peso del pacchetto piccolo
Trunkrs settings,Impostazioni Trunkrs
UPS Standard settings,Impostazioni UPS Standard
'Only recipient' operates above a certain order total amount,'Solo destinatario' è attivo sopra un certo importo dell'ordine
'Large format' operates above a certain order total amount,'Formato grande' è attivo sopra un certo importo dell'ordine
'Return if no answer' operates above a certain order total amount,'Restituzione senza risposta' è attivo sopra un certo importo dell'ordine
A custom be insurance price within a range of possibilities.,Un prezzo assicurativo BE personalizzato in un intervallo di possibilità.
A custom eu insurance price within a range of possibilities.,Un prezzo assicurativo EU personalizzato in un intervallo di possibilità.
A custom row insurance price within a range of possibilities.,Un prezzo assicurativo ROW personalizzato in un intervallo di possibilità.
Activating the 'hide sender' option will remove the name and address of the sender from the label,L'attivazione dell'opzione 'nascondi mittente' rimuove il nome e l'indirizzo del mittente dall'etichetta
Amount of days in the future customers can choose from in the checkout.,Numero di giorni futuri tra cui i clienti possono scegliere al checkout.
Automatically select package type 'Small Package' for orders under 2000 grams. Package type will be 'Small Package' when a product has setting 'Fit in mailbox' set to 0 and the weight is under 2000 grams.,Seleziona automaticamente il tipo di pacco 'Pacchetto piccolo' per gli ordini sotto 2000 grammi. Il tipo di pacco sarà 'Pacchetto piccolo' quando un prodotto ha l'impostazione 'Adatto alla cassetta postale' impostata su 0 e il peso è inferiore a 2000 grammi.
Clicking this button will fetch settings from the MyParcel Backoffice and overwrite the current settings.,Facendo clic su questo pulsante verranno recuperate le impostazioni dal Backoffice MyParcel e le impostazioni correnti verranno sovrascritte.
Leave empty to hide the header above the delivery options.,Lasciare vuoto per nascondere l'intestazione sopra le opzioni di consegna.
"Only available for certain contracts. If this is not in your contract, the setting has no effect.","Disponibile solo per determinati contratti. Se non è nel tuo contratto, l'impostazione non ha effetto."
Shipments heavier than the weight specified here will not be of package type 'Small Package'.,Le spedizioni più pesanti del peso specificato qui non saranno di tipo pacco 'Pacchetto piccolo'.
The minimum amount from when fresh food is active.,L'importo minimo da cui i prodotti freschi è attivo.
The minimum amount from when frozen is active.,L'importo minimo da cui il congelato è attivo.
The minimum amount from when insurance is active.,L'importo minimo da cui l'assicurazione è attiva.
The minimum amount from when only recipient is active.,L'importo minimo da cui solo destinatario è attivo.
The minimum amount from when receipt code is active.,L'importo minimo da cui il codice di ricezione è attivo.
The minimum amount from when signature is active.,L'importo minimo da cui la firma è attiva.
This determines the way the price of delivery is shown to the customer through the delivery options. The price can be shown as a total for each delivery option or as a surchage on top of the regular shipping price.,Questo determina il modo in cui il prezzo di consegna viene mostrato al cliente tramite le opzioni di consegna. Il prezzo può essere mostrato come totale per ciascuna opzione di consegna o come sovrapprezzo rispetto al prezzo di spedizione standard.
This setting applies to domestic shipments only,Questa impostazione si applica solo alle spedizioni nazionali
This will be added to or subtracted from the regular shipping price,Questo verrà aggiunto o sottratto dal prezzo di spedizione standard
"Use percentage of total order amount for insurance. After the calculation, the next available price scale is selected.","Usa la percentuale dell'importo totale dell'ordine per l'assicurazione. Dopo il calcolo, viene selezionata la successiva scala di prezzo disponibile."
"When enabled, parcel lockers will be excluded from pickup locations for all products. Only physical pickup points will be shown.","Quando abilitato, i locker per pacchi saranno esclusi dai punti di ritiro per tutti i prodotti. Verranno mostrati solo i punti di ritiro fisici."
"With 'Export entire order', MyParcel will export every order in its entirety to the back office for further processing.","Con 'Esporta intero ordine', MyParcel esporterà ogni ordine nella sua interezza al back office per ulteriori elaborazioni."

Titles,Titoli
API Access,Accesso API
API access token,Token di accesso API
